10001312072,50.9246094,-1.3797785,Priory Avenue,15,Priory Riverside  15  Priory Avenue  St Denys  Southampton  England  SO17 2NR  United Kingdom
10001312073,50.9246094,-1.3797785,Priory Avenue,15,Priory Riverside  15  Priory Avenue  St Denys  Southampton  England  SO17 2NR  United Kingdom
10001312074,50.9246094,-1.3797785,Priory Avenue,15,Priory Riverside  15  Priory Avenue  St Denys  Southampton  England  SO17 2NR  United Kingdom
10001312075,50.9246094,-1.3797785,Priory Avenue,15,Priory Riverside  15  Priory Avenue  St Denys  Southampton  England  SO17 2NR  United Kingdom
10001312076,50.9246094,-1.3797785,Priory Avenue,15,Priory Riverside  15  Priory Avenue  St Denys  Southampton  England  SO17 2NR  United Kingdom
10001312077,50.9246383,-1.3801339,Priory Avenue,Flat 1;2;3;4;5;6;7;8;9,Flat 1;2;3;4;5;6;7;8;9  Priory Avenue  St Denys  Southampton  England  SO17 2NS  United Kingdom
10001312078,50.9246383,-1.3801339,Priory Avenue,Flat 1;2;3;4;5;6;7;8;9,Flat 1;2;3;4;5;6;7;8;9  Priory Avenue  St Denys  Southampton  England  SO17 2NS  United Kingdom
10001312079,50.9246383,-1.3801339,Priory Avenue,Flat 1;2;3;4;5;6;7;8;9,Flat 1;2;3;4;5;6;7;8;9  Priory Avenue  St Denys  Southampton  England  SO17 2NS  United Kingdom
10001312080,50.9246383,-1.3801339,Priory Avenue,Flat 1;2;3;4;5;6;7;8;9,Flat 1;2;3;4;5;6;7;8;9  Priory Avenue  St Denys  Southampton  England  SO17 2NS  United Kingdom
10001312081,50.9246383,-1.3801339,Priory Avenue,Flat 1;2;3;4;5;6;7;8;9,Flat 1;2;3;4;5;6;7;8;9  Priory Avenue  St Denys  Southampton  England  SO17 2NS  United Kingdom
10001312082,50.9246383,-1.3801339,Priory Avenue,Flat 1;2;3;4;5;6;7;8;9,Flat 1;2;3;4;5;6;7;8;9  Priory Avenue  St Denys  Southampton  England  SO17 2NS  United Kingdom
10001312083,50.9246383,-1.3801339,Priory Avenue,Flat 1;2;3;4;5;6;7;8;9,Flat 1;2;3;4;5;6;7;8;9  Priory Avenue  St Denys  Southampton  England  SO17 2NS  United Kingdom
10001312084,50.9246383,-1.3801339,Priory Avenue,Flat 1;2;3;4;5;6;7;8;9,Flat 1;2;3;4;5;6;7;8;9  Priory Avenue  St Denys  Southampton  England  SO17 2NS  United Kingdom
10001312085,50.9246383,-1.3801339,Priory Avenue,Flat 1;2;3;4;5;6;7;8;9,Flat 1;2;3;4;5;6;7;8;9  Priory Avenue  St Denys  Southampton  England  SO17 2NS  United Kingdom
10001312086,50.9246383,-1.3801339,Priory Avenue,Flat 1;2;3;4;5;6;7;8;9,Flat 1;2;3;4;5;6;7;8;9  Priory Avenue  St Denys  Southampton  England  SO17 2NS  United Kingdom
10001312155,50.923116,-1.3763126,Riverdene Place,1-12,1-12  Riverdene Place  Bitterne Park  Southampton  England  SO18 1UG  United Kingdom
10001312160,50.9228012,-1.3762884,Riverdene Place,13-16,13-16  Riverdene Place  Bitterne Park  Southampton  England  SO18 1UG  United Kingdom
10001312161,50.922605,-1.376604,Riverdene Place,17-22,17-22  Riverdene Place  Bitterne Park  Southampton  England  SO18 1UG  United Kingdom
10001312162,50.9230923,-1.3769105,Riverdene Place,23-40A,23-40A  Riverdene Place  Bitterne Park  Southampton  England  SO18 1UG  United Kingdom
10001312163,50.923157,-1.3772369,Riverdene Place,23-40A,23-40A  Riverdene Place  Bitterne Park  Southampton  England  SO18 1UG  United Kingdom
10001312167,50.923247,-1.3772499,Riverdene Place,23-40A,23-40A  Riverdene Place  Bitterne Park  Southampton  England  SO18 1UG  United Kingdom
10001312168,50.923301,-1.3772634,Riverdene Place,41-62,41-62  Riverdene Place  Bitterne Park  Southampton  England  SO18 1UH  United Kingdom
10001312633,50.9234331,-1.3767352,Riverdene Place,41-62,41-62  Riverdene Place  Bitterne Park  Southampton  England  SO18 1UH  United Kingdom
10001312634,50.923722,-1.3769448,Riverdene Place,63-83,63-83  Riverdene Place  Bitterne Park  Southampton  England  SO18 1UH  United Kingdom
10001312635,50.9237412,-1.3771722,Riverdene Place,63-83,63-83  Riverdene Place  Bitterne Park  Southampton  England  SO18 1UH  United Kingdom
10001312636,50.9236731,-1.3762198,Riverdene Place,84-96,84-96  Riverdene Place  Bitterne Park  Southampton  England  SO18 1UH  United Kingdom
10001312637,50.9234753,-1.3762225,Riverdene Place,84-96,84-96  Riverdene Place  Bitterne Park  Southampton  England  SO18 1UH  United Kingdom
10001316555,50.9225194,-1.3740584,Bullar Road,Flats 1-26,Poppy Fields  Flats 1-26  Bullar Road  Bitterne Park  Southampton  England  SO18 1EJ  United Kingdom
10001316556,50.9225194,-1.3740584,Bullar Road,Flats 1-26,Poppy Fields  Flats 1-26  Bullar Road  Bitterne Park  Southampton  England  SO18 1EJ  United Kingdom
10001316557,50.9225194,-1.3740584,Bullar Road,Flats 1-26,Poppy Fields  Flats 1-26  Bullar Road  Bitterne Park  Southampton  England  SO18 1EJ  United Kingdom
10001316558,50.9225194,-1.3740584,Bullar Road,Flats 1-26,Poppy Fields  Flats 1-26  Bullar Road  Bitterne Park  Southampton  England  SO18 1EJ  United Kingdom
10001316559,50.9225194,-1.3740584,Bullar Road,Flats 1-26,Poppy Fields  Flats 1-26  Bullar Road  Bitterne Park  Southampton  England  SO18 1EJ  United Kingdom
10001316560,50.9225194,-1.3740584,Bullar Road,Flats 1-26,Poppy Fields  Flats 1-26  Bullar Road  Bitterne Park  Southampton  England  SO18 1EJ  United Kingdom
10001316561,50.9225194,-1.3740584,Bullar Road,Flats 1-26,Poppy Fields  Flats 1-26  Bullar Road  Bitterne Park  Southampton  England  SO18 1EJ  United Kingdom
10001316562,50.9225194,-1.3740584,Bullar Road,Flats 1-26,Poppy Fields  Flats 1-26  Bullar Road  Bitterne Park  Southampton  England  SO18 1EJ  United Kingdom
10001316563,50.9225194,-1.3740584,Bullar Road,Flats 1-26,Poppy Fields  Flats 1-26  Bullar Road  Bitterne Park  Southampton  England  SO18 1EJ  United Kingdom
10001316564,50.9225194,-1.3740584,Bullar Road,Flats 1-26,Poppy Fields  Flats 1-26  Bullar Road  Bitterne Park  Southampton  England  SO18 1EJ  United Kingdom
10001316565,50.9225194,-1.3740584,Bullar Road,Flats 1-26,Poppy Fields  Flats 1-26  Bullar Road  Bitterne Park  Southampton  England  SO18 1EJ  United Kingdom
10001316566,50.9225194,-1.3740584,Bullar Road,Flats 1-26,Poppy Fields  Flats 1-26  Bullar Road  Bitterne Park  Southampton  England  SO18 1EJ  United Kingdom
10001316567,50.9225194,-1.3740584,Bullar Road,Flats 1-26,Poppy Fields  Flats 1-26  Bullar Road  Bitterne Park  Southampton  England  SO18 1EJ  United Kingdom
10001316569,50.9225194,-1.3740584,Bullar Road,Flats 1-26,Poppy Fields  Flats 1-26  Bullar Road  Bitterne Park  Southampton  England  SO18 1EJ  United Kingdom
10001316570,50.9225194,-1.3740584,Bullar Road,Flats 1-26,Poppy Fields  Flats 1-26  Bullar Road  Bitterne Park  Southampton  England  SO18 1EJ  United Kingdom
10001316571,50.9225194,-1.3740584,Bullar Road,Flats 1-26,Poppy Fields  Flats 1-26  Bullar Road  Bitterne Park  Southampton  England  SO18 1EJ  United Kingdom
10001316572,50.9225194,-1.3740584,Bullar Road,Flats 1-26,Poppy Fields  Flats 1-26  Bullar Road  Bitterne Park  Southampton  England  SO18 1EJ  United Kingdom
10001316573,50.9225194,-1.3740584,Bullar Road,Flats 1-26,Poppy Fields  Flats 1-26  Bullar Road  Bitterne Park  Southampton  England  SO18 1EJ  United Kingdom
10001316574,50.9225194,-1.3740584,Bullar Road,Flats 1-26,Poppy Fields  Flats 1-26  Bullar Road  Bitterne Park  Southampton  England  SO18 1EJ  United Kingdom
10001316575,50.9225194,-1.3740584,Bullar Road,Flats 1-26,Poppy Fields  Flats 1-26  Bullar Road  Bitterne Park  Southampton  England  SO18 1EJ  United Kingdom
10001316576,50.9225194,-1.3740584,Bullar Road,Flats 1-26,Poppy Fields  Flats 1-26  Bullar Road  Bitterne Park  Southampton  England  SO18 1EJ  United Kingdom
10001316577,50.9225194,-1.3740584,Bullar Road,Flats 1-26,Poppy Fields  Flats 1-26  Bullar Road  Bitterne Park  Southampton  England  SO18 1EJ  United Kingdom
10001316578,50.9225194,-1.3740584,Bullar Road,Flats 1-26,Poppy Fields  Flats 1-26  Bullar Road  Bitterne Park  Southampton  England  SO18 1EJ  United Kingdom
10001316579,50.9225194,-1.3740584,Bullar Road,Flats 1-26,Poppy Fields  Flats 1-26  Bullar Road  Bitterne Park  Southampton  England  SO18 1EJ  United Kingdom
10001316580,50.9225194,-1.3740584,Bullar Road,Flats 1-26,Poppy Fields  Flats 1-26  Bullar Road  Bitterne Park  Southampton  England  SO18 1EJ  United Kingdom
10001316581,50.9225194,-1.3740584,Bullar Road,Flats 1-26,Poppy Fields  Flats 1-26  Bullar Road  Bitterne Park  Southampton  England  SO18 1EJ  United Kingdom
10001316582,50.9225194,-1.3740584,Bullar Road,Flats 1-26,Poppy Fields  Flats 1-26  Bullar Road  Bitterne Park  Southampton  England  SO18 1EJ  United Kingdom
10001316583,50.9225194,-1.3740584,Bullar Road,Flats 1-26,Poppy Fields  Flats 1-26  Bullar Road  Bitterne Park  Southampton  England  SO18 1EJ  United Kingdom
10001316584,50.9225194,-1.3740584,Bullar Road,Flats 1-26,Poppy Fields  Flats 1-26  Bullar Road  Bitterne Park  Southampton  England  SO18 1EJ  United Kingdom
10001316585,50.9225194,-1.3740584,Bullar Road,Flats 1-26,Poppy Fields  Flats 1-26  Bullar Road  Bitterne Park  Southampton  England  SO18 1EJ  United Kingdom
10001316586,50.9225194,-1.3740584,Bullar Road,Flats 1-26,Poppy Fields  Flats 1-26  Bullar Road  Bitterne Park  Southampton  England  SO18 1EJ  United Kingdom
10001316587,50.9225194,-1.3740584,Bullar Road,Flats 1-26,Poppy Fields  Flats 1-26  Bullar Road  Bitterne Park  Southampton  England  SO18 1EJ  United Kingdom
10001316588,50.9225194,-1.3740584,Bullar Road,Flats 1-26,Poppy Fields  Flats 1-26  Bullar Road  Bitterne Park  Southampton  England  SO18 1EJ  United Kingdom
10001316589,50.9225194,-1.3740584,Bullar Road,Flats 1-26,Poppy Fields  Flats 1-26  Bullar Road  Bitterne Park  Southampton  England  SO18 1EJ  United Kingdom
10001316590,50.9225194,-1.3740584,Bullar Road,Flats 1-26,Poppy Fields  Flats 1-26  Bullar Road  Bitterne Park  Southampton  England  SO18 1EJ  United Kingdom
10001316591,50.9225194,-1.3740584,Bullar Road,Flats 1-26,Poppy Fields  Flats 1-26  Bullar Road  Bitterne Park  Southampton  England  SO18 1EJ  United Kingdom
10001317113,50.9214691,-1.3727209,Cobbett Road,Flats 1-10,Bitterne View  Flats 1-10  Cobbett Road  Bitterne Park  Southampton  England  SO18 1HJ  United Kingdom
10001317114,50.9214691,-1.3727209,Cobbett Road,Flats 1-10,Bitterne View  Flats 1-10  Cobbett Road  Bitterne Park  Southampton  England  SO18 1HJ  United Kingdom
10001317115,50.9214691,-1.3727209,Cobbett Road,Flats 1-10,Bitterne View  Flats 1-10  Cobbett Road  Bitterne Park  Southampton  England  SO18 1HJ  United Kingdom
10001317116,50.9214691,-1.3727209,Cobbett Road,Flats 1-10,Bitterne View  Flats 1-10  Cobbett Road  Bitterne Park  Southampton  England  SO18 1HJ  United Kingdom
10001317117,50.9214691,-1.3727209,Cobbett Road,Flats 1-10,Bitterne View  Flats 1-10  Cobbett Road  Bitterne Park  Southampton  England  SO18 1HJ  United Kingdom
10001317118,50.9214691,-1.3727209,Cobbett Road,Flats 1-10,Bitterne View  Flats 1-10  Cobbett Road  Bitterne Park  Southampton  England  SO18 1HJ  United Kingdom
10001317119,50.9214691,-1.3727209,Cobbett Road,Flats 1-10,Bitterne View  Flats 1-10  Cobbett Road  Bitterne Park  Southampton  England  SO18 1HJ  United Kingdom
