Asset_latitude,Asset_longitude,UPRN
50.9254208,-1.3734503,'100060682737
50.9251835,-1.372799,'100060682738
50.9253484,-1.3733659,'100060682739
50.9252005,-1.372628,'100060682740
50.9255394,-1.3724665,'100060682741
50.9252536,-1.3724708,'100060682742
50.9255877,-1.3723341,'100060682744
50.9252801,-1.3723708,'100060682745
50.9255814,-1.3722707,'100060682746
50.9252975,-1.372271,'100060682747
50.9255958,-1.3721623,'100060682748
50.9253061,-1.3721855,'100060682749
50.9256103,-1.3721033,'100060682750
50.9251972,-1.372002,'100060682751
50.9256081,-1.3719857,'100060682752
50.9252324,-1.3718593,'100060682753
50.9256108,-1.371915,'100060682754
50.925625,-1.3717948,'100060682755
50.9252673,-1.3716738,'100060682756
50.9256217,-1.3717242,'100060682757
50.9252761,-1.371631,'100060682758
50.92563,-1.371616,'100060682759
50.9252753,-1.3714745,'100060682760
50.9256281,-1.3715454,'100060682761
50.9252837,-1.3713748,'100060682762
50.9256335,-1.3714394,'100060682763
50.9253012,-1.3712892,'100060682764
50.9256376,-1.3713711,'100060682765
50.9253006,-1.3711611,'100060682766
50.9256459,-1.3712746,'100060682767
50.9252999,-1.3710473,'100060682768
50.9252996,-1.3709762,'100060682769
50.9222654,-1.3736492,'100060685331
50.9221689,-1.3741058,'100060685332
50.9221664,-1.3736364,'100060685333
50.922133,-1.3741063,'100060685334
50.9220314,-1.3736239,'100060685335
50.922034,-1.3741076,'100060685336
50.9220045,-1.3736243,'100060685337
50.9219892,-1.3741225,'100060685338
50.9218969,-1.3736969,'100060685339
50.9218994,-1.3741521,'100060685340
50.921825,-1.3736978,'100060685341
50.9218365,-1.3741672,'100060685342
50.9217264,-1.3737561,'100060685343
50.9217647,-1.3741824,'100060685344
50.9216906,-1.373785,'100060685345
50.9216009,-1.3738289,'100060685346
50.9213341,-1.3743873,'100060685347
50.9212505,-1.3738905,'100060685348
50.9210196,-1.37442,'100060685349
50.9210196,-1.37442,'100060685350
50.921008,-1.3739364,'100060685351
50.9224627,-1.373547,'100060685411
50.9224986,-1.3735465,'100060685412
50.922382,-1.3735908,'100060685413
50.922328,-1.3735773,'100060685414
50.9244381,-1.3720296,'100060686175
50.9244392,-1.371959,'100060686176
50.9244403,-1.3718931,'100060686177
50.9244459,-1.3718249,'100060686178
50.9244441,-1.3717566,'100060686179
50.9246218,-1.3719025,'100060686180
50.9246783,-1.3718993,'100060686181
50.9247467,-1.3719008,'100060686182
50.9248136,-1.3719046,'100060686183
50.9248852,-1.3719271,'100060686184
50.9248972,-1.3714085,'100060686185
50.9248557,-1.3714241,'100060686186
50.9248124,-1.3714035,'100060686187
50.9247679,-1.3714182,'100060686188
50.9247261,-1.3714022,'100060686189
50.9244115,-1.3714983,'100060686190
50.9244081,-1.3714302,'100060686191
50.9244107,-1.3713594,'100060686192
50.9244148,-1.3712912,'100060686193
50.9244278,-1.3712251,'100060686194
50.9281997,-1.3684753,'100060687813
50.9282723,-1.3685881,'100060687814
50.9282818,-1.3686876,'100060687815
50.9283091,-1.3687442,'100060687816
50.9283278,-1.368872,'100060687817
50.9283372,-1.3689572,'100060687818
50.9283648,-1.3690707,'100060687819
50.9283743,-1.3691559,'100060687820
50.9283839,-1.3692696,'100060687821
50.9283934,-1.3693691,'100060687822
50.9283939,-1.3694687,'100060687823
50.9284035,-1.3695824,'100060687824
50.9284221,-1.3696818,'100060687825
50.9284406,-1.3697954,'100060687826
50.9284411,-1.3698807,'100060687827
50.9284689,-1.3700226,'100060687828
50.9284873,-1.3701078,'100060687829
50.9284968,-1.3702073,'100060687830
50.9284974,-1.3703211,'100060687831
50.9285069,-1.3704063,'100060687832
50.9285074,-1.3705059,'100060687833
50.9285259,-1.3705911,'100060687834
50.9217655,-1.37266,'100060690850
50.9216913,-1.3722342,'100060690851
50.921631,-1.372733,'100060690852
50.9215834,-1.3722499,'100060690853
50.9214691,-1.3727209,'100060690855
50.9214489,-1.3723086,'100060690857
50.9213499,-1.3722957,'100060690860
50.921191,-1.3728527,'100060690862
50.9212152,-1.3723402,'100060690864
50.9212152,-1.3723402,'100060690865
50.9211521,-1.3723126,'100060690869
50.9210442,-1.3722998,'100060690873
50.924083,-1.3755314,'100060690910
50.9240379,-1.3754893,'100060690911
50.9240276,-1.3752618,'100060690912
50.9229844,-1.3735827,'100060690913
50.9229653,-1.3733695,'100060690914
50.9229295,-1.3733985,'100060690915
